Σχολή(Πανεπιστήμιο)	Βάση	ΕΒΕ
Αρχιτεκτόνων Μηχανικών (ΕΜΠ)	20.380	13,38
Αρχιτεκτόνων Μηχανικών (ΠΑΝ. ΠΑΤΡΩΝ)	18.690	11,46 - 15,81 - 12,18
Διοικητικής Επιστήμης και Τεχνολογίας (ΟΠΑ)	18.400	12,6
Ηλεκτρολόγων Μηχ/κών και Μηχ/κών Υπ/στών (ΕΜΠ)	18.390	14,73
Πληροφορικής (ΣΣΑΣ)	18.240	12,6
Αρχιτεκτόνων Μηχανικών (ΑΠΘ)	18.135	13,18 - 14,32 - 14,33
Μηχανολόγων Μηχανικών (ΕΜΠ)	18.128	14,73
Ηλεκτρολόγων Μηχ/κών και Μηχ/κών Υπ/στών (ΑΠΘ)	17.960	14,73
Μηχανολόγων Μηχανικών (ΕΜΠ)	17.840	14,73
Ναυπηγών	17.775	14,73
Χημικών Μηχανικών (ΕΜΠ)	17.720	12,6
Πληροφορικής (ΑΠΘ)	17.590	12,6
Πληροφορικής (ΟΠΑ)	17.590	8,4
Αξιωματικών Ελληνικής Αστυνομίας	17.590	8,4
Μηχανολόγων Μηχανικών (ΑΠΘ)	17.525	14,73
Αξιωματικών Πυροσβεστικής Ακαδημίας (ΙΠΑ)	17.460	8,4
Βιολογίας (ΕΚΠΑ)	17.428	14,39
Επιστήμης Φυσικής Αγωγής και Αθλητισμού (ΕΚΠΑ)	17.399	8,55 - 7,73 - 8,4
Αξιωματικών Ελληνικής Αστυνομίας	17.370	8,4
Χημείας (ΕΚΠΑ)	17.275	14,39
Πολιτικών Μηχανικών (ΕΜΠ)	17.265	14,73
Βιολογίας (ΑΠΘ)	17.190	14,39
Επιστήμης Φυσικής Αγωγής και Αθλητισμού (ΑΠΘ)	17.161	8,55 - 8,84
Μηχανολόγων & Αεροναυπ. Μηχ/κών (ΠΑΝ. ΠΑΤΡΩΝ)	17.130	14,73
Αρχιτεκτόνων Μηχανικών (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	17.105	13,18 - 10,02 - 10,03
Ικάρων (ΣΙ) Μετεωρολόγων (ΜΤ)	17.025	14,73
Χημικών Μηχανικών (ΑΠΘ)	17.000	14,73
Πληροφορικής και Τηλεπικοινωνιών (ΕΚΠΑ)	16.955	12,6
Πληροφορικής (ΠΑΝ. ΠΕΙΡΑΙΑ)	16.935	12,6
Εφαρμοσμένης Πληροφορικής - Επιστήμη και Τεχνολογία Υπολογιστών (ΠΑΜΑΚ)	16.915	12,6
Αρχιτεκτόνων Μηχανικών (ΠΑΝ. ΙΩΑΝΝΙΝΩΝ)	16.785	10,54 - 11,46 - 11,47
Βιολογίας (ΠΑΝ. ΠΑΤΡΩΝ)	16.746	11,99
Εφαρμοσμένης Πληροφορικής - Πληροφοριακά Συστήματα (ΠΑΜΑΚ)	16.705	12,6
Σχολή Δοκίμων Σημαιοφόρων Λιμενικού Σώματος - Ελληνικής Ακτοφυλακής	16.650	9,45
Μοριακής Βιολογίας και Γενετικής (ΔΠΘ)	16.595	14,39
Χημείας (ΑΠΘ)	16.590	9,6
Μηχανολόγων Μηχανικών (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	16.580	14,73
Ηλεκτρολόγων Μηχανικών και Τεχνολογίας Υπολογιστών (ΠΑΝ. ΠΑΤΡΩΝ)	16.575	14,73
Βιολογίας (ΠΑΝ. ΚΡΗΤΗΣ)	16.430	11,99
Ικάρων (ΣΙ) Μηχανικοί (ΣΜΑ)	16.335	14,73
Πληροφορικής και Τηλεματικής (ΧΑΡΟΚΟΠΕΙΟ ΠΑΝ.)	16.320	12,6
Χημικών Μηχανικών (ΠΑΝ. ΠΑΤΡΩΝ)	16.273	14,23
Βιολογικών Εφαρμογών και Τεχν/γιών (ΠΑΝ. ΙΩΑΝ)	16.260	14,39
Παιδαγωγικό Δημοτικής Εκπαίδευσης (ΕΚΠΑ)	16.250	12,6
Χημείας (ΠΑΝ. ΠΑΤΡΩΝ)	16.240	14,39
Βιοχημείας και Βιοτεχνολογίας (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	16.030	14,39
Μονίμων Υπαξιωματικών Αεροπορίας (ΣΜΥΑ)	16.030	10,5
Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	16.000	12,27
Παιδαγωγικό Δημοτικής Εκπαίδευσης (ΑΠΘ)	15.950	8,4
Ψηφιακών Συστημάτων (ΠΑ.ΠΕΙ.)	15.940	12,6
Βιοτεχνολογίας (ΓΠΑ)	15.870	14,39
Εφαρμοσμένων Μαθηματικών και Φυσ. Επιστ. (ΕΜΠ)	15.860	14,73
Πολιτικών Μηχανικών (ΑΠΘ)	15.850	14,73
Επιστήμης Υπολογιστών (ΠΑΝ. ΚΡΗΤΗΣ)	15.646	12,6
Μουσικής Επιστήμης και Τέχνης (ΠΑΜΑΚ)	15.600	14,86 - 12,08
Αρχιτεκτόνων Μηχανικών (ΔΠΘ)	15.523	10,54 - 10,02 - 10,03
Χημείας (ΠΑΝ. ΙΩΑΝΝΙΝΩΝ)	15.570	11,99
Μηχανολόγων Μηχανικών (ΠΑ.Δ.Α.)	15.477	14,73
Αρχιτεκτόνων Μηχανικών (ΠΟΛΥΤΕΧΝΕΙΟ ΚΡΗΤΗΣ)	15.470	13,83 - 12,89 - 12,9
Μηχανικών Πληροφορικής και Υπολογιστών (ΠΑ.Δ.Α.)	15.336	12,6
Ικάρων (ΣΙ) Ελεγκτές Αεράμυνας	15.305	14,73
Χημείας (ΠΑΝ. ΚΡΗΤΗΣ)	15.270	14,39
Επιστήμης Φυσικής Αγωγής & Αθλ. (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	15.134	10,69 - 7,73 - 8,4
Παιδαγωγικό Δημοτικής Εκπ/σης (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	15.125	8,4
Μουσικών Σπουδών (ΕΚΠΑ)	15.050	11,35 - 8,79 - 13,23
Χρηματοοικονομικής & Τραπεζικής Διοικητ. (ΠΑ. ΠΕΙ)	14.850	12,6
Ναυπηγών Μηχανικών (ΠΑ.Δ.Α.)	14.850	12,27
Εκπαίδευσης και Αγωγής στην Προσχ. Ηλικία (ΕΚΠΑ)	14.800	8,4
Χημικών Μηχανικών και Μηχανικών Περιβάλλοντος (ΠΟΛΥΤΕΧΝΕΙΟ ΚΡΗΤΗΣ)	14.750	14,73
Μηχανικών Πληρ/κής & Ηλεκτρονικών Συστ. (ΔΙΠΑΕ)	14.740	12,5
Επιστήμης Φυτικής Παραγωγής (ΓΠΑ)	14.720	14,39
Αγρονόμων και Τοπογράφων Μηχανικών - Μηχανικών Γεωπληροφορικής (ΕΜΠ)	14.715	14,73
Μηχανολόγων Μηχανικών (ΠΑΝ. ΔΥΤ. ΜΑΚ.)	14.714	14,73
Χημείας (ΔΠΘ)	14.712	14,39
Ικάρων (ΣΙ) Ιπτάμενοι	14.685	14,73
Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών (ΠΟΛΥΤΕΧΝΕΙΟ ΚΡΗΤΗΣ)	14.648	14,73
Χημικών Μηχανικών (ΠΑΝ. ΔΥΤ. ΜΑΚ.)	14.605	14,73
Μουσικών Σπουδών (ΑΠΘ)	14.590	9,91 - 7,69 - 11,58
Παιδαγωγικό Δημοτικής Εκπαίδευσης (ΠΑΝ. ΙΩΑΝΝ.)	14.575	10,5
Πολιτικών Μηχανικών (ΠΑΝ. ΠΑΤΡΩΝ)	14.545	14,73
Ηλεκτρολόγων και Ηλεκτρονικών Μηχανικών (ΠΑ.Δ.Α.)	14.520	14,73
Επιστήμης Τροφίμων & Διατροφής του Ανθρ. (ΓΠΑ)	14.520	14,39
Φυσικής (ΑΠΘ)	14.518	14,73
